Rank,Song,Artist,Year,Lyrics_List
33,venus,shocking blue,1970,"goddess,mountain,top,burning,like,silver,flame,summit,beauty,love,venus,nameshes,got,yeah,baby,shes,got,well,im,venus,im,fire,desire,well,im,venus,im,fire,desireher,weapons,crystal,eyes,making,every,man,mad,black,dark,night,got,noone,else,wowshes,got,yeah,baby,shes,got,well,im,venus,im,fire,desire,well,im,venus,im,fire,desireahahahahahahah,ahahahahahahahshes,got,yeah,baby,shes,got,well,im,venus,im,fire,desire,well,im,venus,im,fire,desire"
34,instant karma,john lennon,1970,"instant,karmas,gonna,get,gonna,knock,right,head,better,get,together,pretty,soon,youre,gonna,dead,world,thinking,laughing,face,love,earth,tryin,yeah,youinstant,karmas,gonna,get,gonna,look,right,face,better,get,together,darlin,join,human,race,world,gonna,see,laughin,fools,like,hell,dyou,think,super,star,well,right,arewell,shine,like,moon,stars,sun,well,shine,evryone,come,oninstant,karmas,gonna,get,gonna,knock,feet,better,recognize,brothers,evryone,meet,world,surely,live,pain,fear,earth,youre,evrywhere,come,get,sharewell,shine,like,moon,stars,sun,yeah,shine,come,yeah,yeah,alright,uh,huh,ahwell,shine,like,moon,stars,sun,yeah,shine,onwell,shine,like,moon,stars,sun,well,shine,like,moon,stars,sun,well,shine,like,moon,stars,sun,yeah,shine,like,moon,stars,sun"
35,patches,clarence carter,1970,"born,raised,alabama,farm,way,back,woods,ragged,folks,used,call,patches,papa,used,tease,cause,deep,inside,hurt,cause,hed,done,couldmy,papa,great,old,man,see,shovel,hands,see,education,never,wonders,times,got,bad,little,money,crops,raised,barely,paid,bills,madefor,life,kick,ground,tried,get,life,would,kick,back,one,day,papa,called,dyin,bed,put,hands,shoulders,tears,saidhe,said,patches,im,dependin,son,pull,family,son,left,youtwo,days,later,papa,passed,away,became,man,day,told,mama,gonna,quit,school,said,daddys,strictest,ruleso,every,mornin,fore,went,school,fed,chickens,chopped,wood,sometimes,felt,couldnt,go,wanted,leave,run,away,home,would,remember,daddy,said,tears,eyes,dyin,bedhe,said,patches,im,dependin,son,tried,best,restthen,one,day,strong,rain,came,washed,crops,away,age,13,thought,carryin,weight,whole,world,shoulders,know,mama,knew,goin,causeevery,day,work,fields,cause,thats,way,got,meals,see,oldest,family,everybody,else,depended,every,night,heard,mama,pray,lord,give,strength,make,another,dayso,years,passed,kids,grown,angels,took,mama,brand,new,home,lord,knows,people,shedded,tears,daddys,voice,kept,yearssing,patches,im,dependin,son,pull,family,son,left,youoh,still,hear,papas,voice,sayin,patches,im,dependin,son,ive,tried,best,resti,still,hear,papa,said,patches,im,dependin,son,pull,family,son,left"
36,lookin out my back door,creedence clearwater revival,1970,"got,home,illinois,lock,front,door,oh,boy,got,sit,take,rest,porch,imagination,sets,pretty,soon,im,singindoo,doo,doo,lookin,back,doortheres,giant,cartwheels,statue,wearin,high,heels,look,happy,creatures,dancing,lawn,dinosaur,victrola,listning,buck,owensdoo,doo,doo,lookin,back,doortambourines,elephants,playing,band,wont,take,ride,flyin,spoon,doo,doo,doo,wondrous,apparition,provided,magiciandoo,doo,doo,lookin,back,doortambourines,elephants,playing,band,wont,take,ride,flyin,spoon,doo,doo,doo,bother,tomorrow,today,ill,buy,sorrowsdoo,doo,doo,lookin,back,doorforward,troubles,illinois,lock,front,door,oh,boy,look,happy,creatures,dancing,lawn,bother,tomorrow,today,ill,buy,sorrowsdoo,doo,doo,lookin,back,door"
37,rainy night in georgia,brook benton,1970,"hoverin,suitcase,tryin,find,warm,place,spend,night,heavy,rain,fallin,seems,hear,voice,callin,right,rainy,night,georgia,rainy,night,georgia,seems,like,rainin,world,feel,like,rainin,world,neon,signs,aflashin,taxi,cabs,buses,passin,night,distant,moanin,train,seems,play,sad,refrain,night,rainy,night,georgia,rainy,night,georgia,lord,believe,rainin,world,feel,like,rainin,world,many,times,wondered,still,comes,matter,look,think,life,got,play,game,find,place,box,car,take,guitar,pass,time,late,night,hard,rest,hold,picture,chest,feel,fine,rainy,night,georgia,baby,rainy,night,georgia,feel,rainin,world,kinda,lonely,rainin,world,oh,ever,lonely,people,feel,rainin,mans,world,youre,talking,bout,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,rainin,world,said,rainin,rainin,rainin"
39,give me just a little more time,chairmen of the board,1970,"give,little,time,love,surely,grow,give,little,time,love,surely,grow,lifes,short,make,mistake,lets,think,hesitate,young,impatient,may,theres,need,act,foolishly,part,hearts,wont,forget,years,well,surely,regret,give,little,time,love,surely,grow,give,little,time,love,surely,grow,youre,young,youre,hurry,youre,eager,love,dont,worry,want,sweetness,life,things,dont,come,overnight,dont,give,cos,loves,slow,girl,gonna,succeed,another,blow,give,little,time,love,surely,grow,baby,please,baby,baby,please,baby,love,mountain,must,climb,lets,climb,together,hand,mine,havent,known,long,feeling,oh,strong,know,make,theres,doubt,owe,find,give,little,time,love,surely,grow,give,little,time,love,surely,grow,give,little,time,love,surely,grow,baby,please,baby,baby,please,baby,give,little,time,love,surely,grow,give,little,time,love,surely,grow,give,little,time,love,surely,grow,give,little,time,love,surely,grow"
40,love grows where my rosemary goes,edison lighthouse,1970,"aint,got,money,clothes,kinda,funny,hair,kinda,wild,free,oh,love,grows,rosemary,goes,nobody,knows,like,talks,kinda,lazy,people,say,shes,crazy,lifes,mystery,oh,love,grows,rosemary,goes,nobody,knows,like,theres,something,hand,holding,mine,feeling,thats,fine,gotta,say,shes,really,got,magical,spell,working,well,cant,get,away,im,lucky,fella,ive,got,tell,love,endlessly,love,grows,rosemary,goes,nobody,knows,like,theres,something,hand,holding,mine,feeling,thats,fine,gotta,say,shes,really,got,magical,spell,working,well,cant,get,away,im,lucky,fella,ive,got,tell,love,endlessly,love,grows,rosemary,goes,nobody,knows,like,keeps,growing,every,place,shes,nobody,knows,like,youve,met,youll,never,forget,nobody,knows,like,la,la,la,believe,youve,seen,nobody,knows,like"
41,the long and winding road,the beatles,1970,"long,winding,road,leads,door,never,disappear,ive,seen,road,always,leads,lead,door,wild,windy,night,rain,washed,away,left,pool,tears,crying,day,leave,standing,let,know,way,many,times,ive,alone,many,times,ive,cried,anyway,youll,never,know,many,ways,ive,tried,still,lead,back,long,winding,road,left,standing,long,long,time,ago,dont,leave,waiting,lead,door,still,lead,back,long,winding,road,left,standing,long,long,time,ago,dont,keep,waiting,lead,door,yeah,yeah,yeah,yeah"
42,snowbird,anne murray,1970,"beneath,snowy,mantle,cold,clean,unborn,grass,lies,waiting,coat,turn,green,snowbird,sings,song,always,sings,speaks,flowers,bloom,springwhen,young,heart,young,anything,would,tell,thats,thing,would,feel,emptiness,within,thing,want,lifes,thing,thing,cant,winspread,tiny,wings,fly,away,take,snow,back,came,day,one,love,forever,untrue,could,know,would,fly,away,youthe,breeze,along,river,seems,say,hell,break,heart,decide,stay,little,snowbird,take,go,land,gentle,breezes,peaceful,waters,flow"
43,reflections of my life,marmalade,1970,"changing,sunlight,moonlight,reflections,life,oh,fill,eyes,greetings,people,trouble,reflections,life,oh,fill,mindall,sorrow,sad,tomorrow,take,back,old,home,cryin,feel,im,dyin,dyin,take,back,old,homeim,changin,arrangin,im,changin,im,changin,everything,ah,everything,around,world,bad,place,bad,place,terrible,place,live,oh,dont,wanna,dieall,sorrow,sad,tomorrow,take,back,old,home,cryin,feel,im,dyin,dyin,take,back,old,home"
44,hey there lonely girl,eddie holman,1970,"hey,lonely,girl,lonely,girl,let,make,broken,heart,like,new,oh,lonely,girl,lonely,girl,dont,know,lonely,boy,loves,youever,since,broke,heart,seem,lost,time,pass,way,long,take,hand,say,dont,cry,ill,kiss,tears,away,hey,lonely,girl,lonely,girl,let,make,broken,heart,like,new,oh,lonely,girl,lonely,girl,dont,know,lonely,boy,loves,youyou,think,two,lips,kiss,lips,make,heart,stand,still,youre,arms,youll,see,one,kiss,lips,way,hey,lonely,girl,lonely,girl,let,make,broken,heart,like,newoh,lonely,girl,lonely,girl,dont,know,lonely,girl,loves,oh,lonely,girl,lonely,girl,dont,know,lonely,boy,loves"
45,the rapper,the jaggerz,1970,"hey,girl,betcha,theres,someone,get,ya,youll,find,anywhere,bus,bar,grocery,store,hell,say,excuse,havent,seen,somewhere,raparaparap,call,rapper,rap,rap,rap,know,hes,starts,rappin,hoping,something,happen,hell,say,needs,companion,girl,talk,hes,made,mind,wants,someone,sock,chorus,hes,made,impression,makes,suggestion,come,place,coffee,tea,hes,got,wants,girl,gotta,face,reality,chorus,rap,rap,rap,call,rapper"
46,he aint heavy hes my brother,the hollies,1970,"road,long,many,winding,turns,leads,us,knows,knows,wherebut,im,strong,strong,enough,carry,aint,heavy,hes,brotherso,go,welfare,concern,burden,bear,well,get,therefor,know,would,encumber,aint,heavy,hes,brotherif,im,laden,im,laden,sadness,everyones,heart,isnt,filled,gladness,love,one,anotherits,long,long,road,return,way,shareand,load,doesnt,weigh,aint,heavy,hes,brotherhes,brother,aint,heavy,hes,brother,aint,heavy,hes,brother"
47,tighter tighter,alive n kickin,1970,"know,got,show,nobody,else,ever,gave,beautiful,feelin,oh,woman,touched,amy,soul,honey,dont,alet,go,hold,baby,little,bit,tighter,hold,ajust,little,bit,tighter,baby,love,much,cant,let,go,hold,ajust,little,bit,tighter,baby,love,surprising,opened,eyes,reached,took,hand,baby,touched,amy,soul,woman,dont,let,go,hold,baby,little,bit,tighter,hold,ajust,little,bit,tighter,baby,love,much,cant,let,go"
48,come and get it,badfinger,1970,"want,come,get,make,mind,fast,want,anytime,give,better,hurry,cause,may,lastdid,hear,say,must,catch,walk,away,fool,moneyif,want,come,get,better,hurry,cause,goin,fastif,want,come,get,make,mind,fast,want,anytime,give,better,hurry,cause,may,lastdid,hear,say,must,catch,walk,away,fool,moneysonny,want,come,get,youd,better,hurry,cause,going,fast,youd,better,hurry,cause,going,fast,fool,money,sonnyif,want,come,get,youd,better,hurry,cause,goin,fast,youd,better,hurry,cause,goin,fast,youd,better,hurry,cause,goin,fast"
49,cecilia,simon  garfunkel,1970,"cecilia,youre,breaking,heart,youre,shaking,confidence,daily,oh,cecilia,im,knees,im,begging,please,come,home,oh,cecilia,youre,breaking,heart,youre,shaking,confidence,daily,oh,cecilia,im,knees,im,begging,please,come,home,come,home,making,love,afternoon,cecilia,bedroom,making,love,afternoon,cecilia,bedroom,got,wash,face,come,back,bed,someones,taken,place,cecilia,youre,breaking,heart,youre,shaking,confidence,daily,oh,cecilia,im,knees,im,begging,please,come,home,come,home,making,love,afternoon,cecilia,bedroom,got,wash,face,come,back,bed,someones,taken,place,cecilia,youre,shaking,confidence,daily,oh,cecilia,im,begging,please,come,home,come,jubilation,loves,fall,floor,im,laughing,jubilation,loves,fall,floor,im,laughing,jubilation,jubilation,jubilation"
50,love land,charles wright  the watts 103rd street rhythm band,1970,"heard,love,land,little,charms,know,ill,never,get,love,land,unless,im,wrapped,arms,got,take,baby,please,take,id,love,walk,golden,street,handinhand,lovers,meet,whoa,id,love,go,love,land,pretty,baby,cause,love,true,swear,heard,love,land,youthful,hearts,well,loneliness,cant,live,happiness,answer,youve,got,take,baby,got,take,oh,yeah,id,love,walk,golden,street,handinhand,lovers,meet,id,love,go,love,land,yeah,oh,id,like,walk,golden,street,handinhand,lovers,meet,oh,id,love,go,love,land,love,land,swear,love,true,take,baby,yeah,take,baby,yeah,got,got,got,got,got,got,take,hand,tell,tell,tell,baby,im,lover,man,together,go,well,stop,yeah,everybody,know,got,take,got,take"
51,turn back the hands of time,tyrone davis,1970,"oh,darling,im,lonely,without,cant,sleep,night,always,think,chance,start,would,wishing,today,four,leaf,clover,leaving,last,thing,mind,could,turn,back,hands,timeoh,darling,cant,hold,much,longer,oh,pains,deep,hurt,getting,stronger,one,try,would,alone,day,die,would,love,divine,could,turn,back,hands,timeoh,darling,please,please,let,come,back,home,love,good,baby,relied,without,cant,go,youre,half,makes,life,complete,one,chance,wed,love,sweet"
52,lola,the kinks,1970,"met,club,old,soho,drink,champagne,tastes,like,coca,cola,cola,cola,walked,asked,dance,asked,name,dark,brown,voice,said,lola,lola,lola,lllola,well,im,worlds,physical,guy,squeezed,tight,nearly,broke,spine,oh,lola,lllola,well,im,dumb,cant,understand,walked,like,woman,talked,like,man,oh,lola,lllola,lllola,well,drank,champagne,danced,night,electric,candlelight,picked,sat,knee,said,dear,boy,wont,come,home,well,im,worlds,passionate,guy,looked,eyes,well,almost,fell,lola,lllola,lllola,lola,lllola,lllola,pushed,away,walked,door,fell,floor,got,knees,looked,thats,way,want,stay,always,want,way,lola,lllola,girls,boys,boys,girls,mixed,muddled,shook,world,except,lola,lllola,well,left,home,week,id,never,ever,kissed,woman,lola,smiled,took,hand,said,dear,boy,im,gonna,make,man,well,im,worlds,masculine,man,know,im,glad,im,man,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola,lola,lllola,lllola"
53,in the summertime,mungo jerry,1970,"chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchhin,summertime,weather,hot,stretch,right,touch,sky,weathers,fine,got,women,got,women,mind,drink,drive,go,see,findif,daddys,rich,take,meal,daddys,poor,feel,speed,along,lane,ton,ton,twentyfive,sun,goes,make,make,good,laybywere,threat,people,dirty,mean,love,everybody,please,weathers,fine,go,fishin,go,swimmin,sea,always,happy,lifes,livin,yeah,thats,philosophysing,along,us,dee,dee,deedee,dee,dah,dah,dahdah,dah,yeah,haphappy,dah,dahdah,deedahdo,deedahdo,dahdodah,dahdodahdahdah,dahdahdah,dodahdahalright,ahchh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchhwhen,winters,yeah,party,time,bring,bottle,wear,bright,clothes,itll,soon,summertime,well,sing,well,go,drivin,maybe,well,settle,shes,rich,shes,nice,bring,friends,well,go,townchh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchh,uh,chh,chhchhin,summertime,weather,hot,stretch,right,touch,sky,weathers,fine,got,women,got,women,mind,drink,drive,go,see,findif,daddys,rich,take,meal,daddys,poor,feel,speed,along,lane,ton,ton,twentyfive,sun,goes,make,make,good,laybywere,threat,people,dirty,mean,love,everybody,please,weathers,fine,go,fishin,go,swimmin,sea,always,happy,lifes,livin,yeah,thats,philosophysing,along,us,dee,dee,deedee,dee,dah,dah,dahdah,dah,yeah,haphappy,dah,dahdah,deedahdo,deedahdo,dahdodah,dahdodahdahdah"
54,indiana wants me,r dean taylor,1970,"indiana,wants,lord,cant,go,back,indiana,wants,lord,cant,go,back,wish,talk,toif,man,ever,needed,dying,one,right,say,said,cold,lonely,without,law,coming,ive,tired,runningindiana,wants,lord,cant,go,back,indiana,wants,lord,cant,go,back,wish,talk,toit,hurts,see,man,ive,become,know,ill,never,see,morning,sunshine,land,ill,never,see,smiling,face,touch,hand,could,see,home,little,babyindiana,wants,lord,cant,go,back,indiana,wants,lord,cant,go,back,wish,talk,toi,hope,letter,finds,way,forgive,love,shame,ive,put,tears,hang,love,memories,happy,years,red,lights,flashing,around,good,lord,looks,like,found,meindiana,wants,lord,cant,go,back,indiana,wants,lord,cant,go,back,wish,talk,toindiana,wants,lord,cant,go,back,police,surrounded,give,upindiana,wants,lord,cant,go,back,police,surrounded,give,upindiana,wants,lord,cant,go,back,police,surrounded,give"
55,i know im losing you,rare earth,1970,"love,fadin,feel,fade,ah,love,fadin,feel,fade,ah,love,fadin,woman,feel,fadeah,woman,woman,touch,touch,gone,cold,someone,else,controls,soul,ive,fooled,long,feel,presence,another,manits,speak,name,ooh,babe,im,losing,air,everywhere,baby,baby,babe,im,losing,youwhen,look,eyes,reflection,face,see,im,hurt,downhearted,worried,girl,cause,face,doesnt,belong,meits,face,someones,takin,place,ooh,baby,im,losing,try,hard,hide,emptiness,feel,inside,ooh,babe,im,losing,youfadin,fadin,away,fadin,away,fadin,love,fadin,feel,fadin,fadin,fadin,away,megirl,know,true,theres,nothin,know,im,losing,feel,bones,day,ill,gone,im,losin,youi,know,true,theres,someone,new,im,losin,cause,love,fadin,fadin,away,fadin,fadin,away,fadin,fadin,fadin,away,mei,cant,bear,thought,losing,ah,woman,cant,see,im,goin,im,losin,mind,youi,cant,bear,thought,losing,im,losin,mind,cant,stand,thought,losing"
56,easy come easy go,bobby sherman,1970,"takin,shade,sun,whatever,made,think,number,one,oughta,know,easy,come,easy,go,sittin,spinnin,dial,thinkin,chump,ive,smile,didnt,know,easy,come,easy,go,wasnt,kind,wasnt,smart,lost,mind,fell,apart,find,time,start,hangin,around,takin,slow,happy,found,still,smile,dig,show,lettin,know,easy,come,easy,go"
57,express yourself,charles wright  the watts 103rd street rhythm band,1970,"express,express,dont,never,need,help,nobody,else,got,express,whatever,good,whatever,lord,lord,good,oh,yeah,look,like,youre,doin,youre,doin,youre,doin,youre,doin,look,like,youre,doin,express,express,theyre,doin,moon,yeah,jungle,everybody,floor,jumpin,like,kangaroo,let,horns,thing,yo,people,everything,people,dont,everything,dont,mean,thing,aint,thing,want,express,express,oh,oh,go,yo,give,express,express,oh,lord,yeah,express,express,express,express,express,express,express,oh,lord,hey,hey,hey,lord,express,express,express,ahh,express,express,express,express,express"
58,still water love,the four tops,1970,"walk,take,handoh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,ohstill,water,still,waterah,ah,ah,never,mind,dont,tell,strangers,passing,dont,brag,dont,brag,boast,click,glass,say,toast,love,runs,deep,true,yet,cause,dont,know,oh,still,waters,run,deep,still,waters,run,deep,still,waters,run,deep,still,waters,run,deepoh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,oh,walk,take,handstill,waters,still,water,walk,take,hand,whoa,whoa,whoa,still,waters,run,deep,hey,hey,hey,heywhoa,whoa,whoa,still,waters,run,deep"
59,make me smile,chicago,1970,"children,play,park,dont,know,im,alone,dark,even,though,time,time,see,face,smiling,insideim,happy,uh,huh,love,oh,ahaya,life,lovely,whooah,youre,near,tell,stay,make,smileliving,life,game,say,games,used,play,fade,away,may,enjoy,dreams,shared,long,agooh,darling,oh,uoh,uho,got,yeah,hyeeah,feel,magic,woo,woo,hold,cry,sweet,tears,joy,touch,sky"
60,the house of the rising sun,frijid pink,1970,"house,new,orleans,call,rising,sun,ruin,many,poor,boy,god,know,im,one,mother,tailor,sewed,new,bluejeans,father,gamblin,man,new,orleans,thing,gambler,needs,suitcase,trunk,time,hes,satisfied,hes,drunk,oh,mother,tell,children,done,spend,lives,sin,misery,house,rising,sun,well,house,new,orleans,call,rising,sun,ruin,many,poor,boy,god,know,im,one"
61,25 or 6 to 4,chicago,1970,"waiting,break,day,searching,something,say,flashing,lights,sky,giving,close,eyessitting,crosslegged,floor,25,6,4staring,blindly,space,getting,splash,face,wanting,stay,awake,wondering,much,takeshould,try,25,6,4,oh,yeahfeeling,like,ought,sleep,spinning,room,sinking,deep,searching,something,say,waiting,break,day25,6,4,25,6,4,alright"
62,my baby loves lovin,white plains,1970,"baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,itmy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,iti,lonely,great,big,world,great,big,world,nowhere,man,without,girl,came,wayshe,smiled,saymy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,itmy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,itshes,one,makes,feel,good,believing,lovin,im,gone,good,sorrows,fears,seem,fly,away,looks,saymy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,meno,lonely,nights,waiting,phone,ring,lonely,days,babys,taken,care,everything,im,telling,peoplemy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,itmy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use,itshes,one,makes,feel,good,believing,lovin,sorrows,fears,seem,fly,away,looks,saymy,baby,loves,love,baby,loves,lovin,shes,got,takes,know,use"
